2,NO,N,2,10167,########,10167,########,1
3,HELLO SIR,N,2,10167,########,10167,########,1
5,NO,N,2,10167,########,10167,########,1
7,NO,N,2,10167,########,10167,########,1
11,iam connecting your through teamviewr again,O,2,10014,########,10014,########,1
12,give your teamviewr password,O,2,10014,########,10014,########,1
13,238592083 & password 2953,N,2,10167,########,10167,########,1
14,error message here,O,2,10167,########,10167,########,1
15,what error,O,2,10014,########,10014,########,1
19,sir all connection are properly connected,O,2,10167,########,10167,########,1
20,forget aview first record your audio in your PC and see if it is properly recorded and your are able hear it,O,2,10014,########,10014,########,1
21,"i was just testing with another center, there is no session now",O,4,10014,########,10014,########,1
24,we are live and audible,O,5,10014,########,10014,########,1
28,what abt now sir,N,8,11414,########,11414,########,1
29,yes i can hear you,O,9,10014,########,10014,########,1
31,have you connected any speakers or headphone mic,O,9,10014,########,10014,########,1
34,yes you are audible and visible,O,10,10014,########,10014,########,1
35,its ok,N,10,10014,########,10014,########,1
36,ok,N,10,10014,########,10014,########,1
37,ok fine,N,10,10014,########,10014,########,1
38,ok thank you,N,10,10014,########,10014,########,1
39,wait,N,11,10014,########,10014,########,1
40,try reinstalling the software,O,11,10014,########,10014,########,1
42,ok,N,11,10014,########,10014,########,1
43,iam there till 5.30,N,11,10014,########,10014,########,1
44,thanks. few minutes please,N,11,11399,########,11399,########,1
46,please go through it again and see proper connections,O,13,10014,########,10014,########,1
48,it is coming from a podium mic or some other mic,O,13,10014,########,10014,########,1
50,as required for this type of sessions,O,13,10014,########,10014,########,1
52,yes. we have audio mixer,O,13,11437,########,11437,########,1
53,ok,N,13,10014,########,10014,########,1
54,and amplifier also,O,13,11437,########,11437,########,1
56,you need to do it according to the A-VIEW guidelines file,O,13,10014,########,10014,########,1
58,NO,N,13,10014,########,10014,########,1
59,"See what iam saying is you are audible but from the mic which you spoke right now,",O,13,10014,########,10014,########,1
60,But that is not how it will work in A-VIEW sessions,O,13,10014,########,10014,########,1
61,your audio should come from a handheld mic which can be passed to everyone in the classroom,O,13,10014,########,10014,########,1
62,So how willl igt work??,N,13,11437,########,11437,########,1
63,The MIC from which audio is coming right now is a conference MIC from which i can hear everything in the room everyones audio all the background noise at the same time,O,13,10014,########,10014,########,1
64,and it also generates echo,O,13,10014,########,10014,########,1
65,"In A-VIEW settings you have selected that conference MIC, you need to select the handheld mic then your audio will come from that mic",O,13,10014,########,10014,########,1
66,sir,N,13,11437,########,11437,########,1
67,sheere is setting option,N,13,11437,########,11437,########,1
68,in a view,N,13,11437,########,11437,########,1
69,"Please Read carefully, In A-VIEW settings where you silect Microphone when you press start button and select your camera and MIcrophone",O,13,10014,########,10014,########,1
70,in that setting,N,13,10014,########,10014,########,1
71,If you follow step by step instructions given in the guidelines file your problem will be solved,N,13,10014,########,10014,########,1
72,please call on 25764924,N,13,10014,########,10014,########,1
73,please call on 25764924,N,13,10014,########,10014,########,1
75,now,N,13,11437,########,11437,########,1
76,we have make some changes in audio settings,O,13,11437,########,11437,########,1
77,http://www.nmeict.iitb.ac.in/speedtest/,N,14,10014,########,10014,########,1
78,just test on this link,N,14,10014,########,10014,########,1
79,now,N,14,10014,########,10014,########,1
80,i want you to test it in your browser,O,14,10014,########,10014,########,1
81,and keep the camera on the projector screen so that i can also see,O,14,10014,########,10014,########,1
82,ya now test your bandwidth,O,14,10014,########,10014,########,1
84,it is showing to update your adobe flash player,O,14,10014,########,10014,########,1
85,when you open that link on right hand side it asks you to update client,O,14,10014,########,10014,########,1
91,we have,N,14,11437,########,11437,########,1
93,wait i'll come back to you,N,15,10014,########,10014,########,1
97,when you press start there is a pretesting button to check your audio and video do that and i'll get back to you,O,16,10014,########,10014,########,1
101,ok sir,N,18,10181,########,10181,########,1
102,ok,N,18,10014,########,10014,########,1
103,sony,N,18,10181,########,10181,########,1
104,handy cam hd camera,N,18,10181,########,10181,########,1
107,sure sir..,N,18,10181,########,10181,########,1
111,we have pretested audio and video its ok,O,16,10081,########,10081,########,1
114,it is ok now but make sure you use wireless mic because with this mic there is lot of echo,O,22,10014,########,10014,########,1
115,ok,N,22,10014,########,10014,########,1
119,if you are not able to hear me then problem at your end,O,25,10014,########,10014,########,1
120,i can hear you,O,25,10014,########,10014,########,1
123,we can here u,O,27,10109,########,10109,########,1
125,please rectify that i will get back to your,O,27,10014,########,10014,########,1
126,we are not able to rectify please help us,O,27,10109,########,10109,########,1
127,we connected mic according to diagram,O,27,10109,########,10109,########,1
128,are you gettting my audio video clearly without delay,O,28,10014,########,10014,########,1
129,yes sir,N,28,10102,########,10102,########,1
130,if not getting audio clearly please make sure you have not updated adobe air,O,28,10014,########,10014,########,1
131,please check that,N,28,10014,########,10014,########,1
132,"the echo test in aview is not for the echo cancellation, for this echo cancellation you need to do connections according to the connections diagram provided to you in aview guidelines file",O,26,10014,########,10014,########,1
133,"Go through the connections diagram in aview guidelines file see if everything is in proper place, and do testing tomorrow",O,29,10014,########,10014,########,1
